cian_id,price_rub,rooms_count,total_area,kitchen_area,floor_number,floors_total,is_newbuilding,photos_count,district,metro_name,metro_minutes,address_full,lat,lon,jk_name,decoration,building_material,luxury_description,luxury_photo,luxury_reason
320949320,499000000,5.0,210.0,20.0,3,4,True,3,Тверской,Театральная,,"Москва, ЦАО, р-н Тверской, м. Театральная, Дмитровский переулок, 7",55.762308,37.616261,Петровъ Дом,,monolith,50,46,
328134551,295000000,4.0,140.0,21.0,2,9,True,3,Хамовники,Фрунзенская,16.0,"Москва, ЦАО, район Хамовники, Погодинская улица, 4",55.734973,37.571013,GRAND DELUXE на Плющихе,,monolithBrick,50,61,
326884631,35000000,2.0,56.6,19.0,2,22,True,3,Марфино,Останкино,,"Москва, СВАО, р-н Марфино, м. Останкино, улица Академика Королева, 21",55.819909,37.60231,Дом Достижение,,monolithBrick,50,51,
329355992,200000000,3.0,115.3,14.0,6,13,True,3,Дорогомилово,Парк Победы,,"Москва, ЗАО, р-н Дорогомилово, м. Парк Победы, улица Братьев Фонченко, 1к3",55.732311,37.516503,Victory Park Residences,,monolith,50,43,
326362890,71840881,3.0,81.4,,14,41,True,3,Хорошевский,Аэропорт,,"Москва, САО, р-н Хорошевский, м. Аэропорт, Ленинградский проспект, 37/7",55.793698,37.543183,Прайм Парк,,,50,53,
327567135,59900000,3.0,110.0,15.0,6,8,True,3,Аэропорт,Аэропорт,2.0,"Москва, САО, район Аэропорт, улица Черняховского, 4",55.802062,37.533499,,,brick,50,43,
326454486,113568000,2.0,78.0,26.5,10,24,True,3,Замоскворечье,Новокузнецкая,12.0,"Москва, ЦАО, район Замоскворечье, Большая Татарская улица",55.7374107545934,37.636627507531,Татарская 35,without,monolith,50,45,
329004988,139000000,4.0,140.0,12.0,10,53,True,3,Раменки,Поклонная,21.0,"Москва, ЗАО, район Раменки, Мосфильмовская улица, 8",55.723592,37.527256,Дом на Мосфильмовской,,monolith,50,41,
328486469,70906220,2.0,90.2,,2,11,True,3,Аэропорт,Аэропорт,,"Москва, САО, р-н Аэропорт, м. Аэропорт, Красноармейская улица, 11",55.7989697376518,37.5450666097844,Авторская коллекция резиденций МУЗА,without,monolithBrick,50,61,
315335442,46999000,2.0,49.0,10.0,8,10,False,3,Тверской,Пушкинская,,"Москва, ЦАО, р-н Тверской, м. Пушкинская, Большой Гнездниковский переулок, 10",55.763224,37.605409,,,monolithBrick,50,52,
329374402,73157351,3.0,84.2,,21,41,True,1,Хорошевский,Аэропорт,,"Москва, САО, р-н Хорошевский, м. Аэропорт, Ленинградский проспект, 37/7",55.793698,37.543183,Прайм Парк,,,50,41,
296106353,270000000,5.0,300.3,20.0,4,10,True,3,Пресненский,Баррикадная,18.0,"Москва, ЦАО, район Пресненский, улица Климашкина, 17С2",55.767154,37.568066,Панорама,,monolith,50,47,
296106315,450000000,5.0,363.0,20.0,11,11,True,3,Хамовники,Смоленская,13.0,"Москва, ЦАО, район Хамовники, 1-й Неопалимовский переулок, 8",55.74076,37.581047,Венский дом,,monolith,50,63,
311245853,3500000,4.0,232.3,20.0,2,6,True,3,Таганский,Курская,16.0,"Москва, ЦАО, район Таганский, Серебряническая набережная, 19",55.750018,37.649741,АртХаус,,,50,41,
314433652,148000000,3.0,159.4,10.0,10,16,True,3,Арбат,Смоленская,5.0,"Москва, ЦАО, район Арбат, 1-й Смоленский переулок, 17",55.748711,37.578514,Новопесковский,,brick,50,58,
328521830,63394795,4.0,85.3,,10,11,True,3,Можайский,Давыдково,13.0,"Москва, ЗАО, район Можайский, Родина Парк ЖК, к1",55.71299045540091,37.44155006682438,Родина Парк,without,monolithBrick,50,60,
329065326,120000000,4.0,169.5,20.0,7,38,True,3,Раменки,Минская,14.0,"Москва, ЗАО, район Раменки, Мосфильмовская улица, 70к1",55.714663,37.504528,Воробьевы Горы,,monolith,50,61,
325632254,24238500,,33.9,12.9,13,28,True,3,Хорошево-Мневники,Бульвар Генерала Карбышева,5.0,"Москва, СЗАО, район Хорошево-Мневники, улица Генерала Глаголева",55.7829354711414,37.4636456980767,Трилогия Кристалл,unknown,monolith,50,36,
319123429,118000000,4.0,202.7,14.0,20,23,True,3,Филевский парк,Филёвский парк,8.0,"Москва, ЗАО, район Филевский парк, Кастанаевская улица, 24",55.738591,37.490326,Изумруд,,monolithBrick,50,50,
326928829,123000000,4.0,151.9,36.0,26,29,True,3,Якиманка,Серпуховская,12.0,"Москва, ЦАО, район Якиманка, Мытная улица, 40к3",55.722776,37.61468,Sky House,,monolith,50,50,
317410376,5000000,3.0,231.0,31.0,5,5,True,3,Красносельский,Тургеневская,3.0,"Москва, ЦАО, район Красносельский, Сретенский бульвар, 6/1С1",55.765853,37.633517,,,brick,50,56,
320335397,64627560,1.0,55.8,,3,11,True,3,Даниловский,Павелецкая,,"Москва, ЮАО, р-н Даниловский, м. Павелецкая, Дербеневская набережная, 27с24",55.7253323113978,37.6542770089447,"Клубный дом ""ОПУС""",without,monolithBrick,50,60,
327993673,248000000,4.0,160.0,15.0,7,16,True,3,Раменки,Поклонная,17.0,"Москва, ЗАО, район Раменки, Воробьевское шоссе, 4",55.727693,37.535359,Воробьёв Дом,,monolithBrick,50,42,
321395552,59900000,3.0,91.0,20.0,7,9,True,3,Басманный,Бауманская,7.0,"Москва, ЦАО, район Басманный, Нижняя Красносельская улица, 35С48",55.774958,37.672971,TriBeCa APARTMENTS,,,50,37,
324759216,109263000,2.0,66.2,24.1,13,18,True,3,Хамовники,Воробьёвы горы,17.0,"Москва, ЦАО, район Хамовники, Коллекция Лужники ЖК",55.7152023823584,37.5729976389884,КОЛЛЕКЦИЯ ЛУЖНИКИ,preFine,monolith,50,46,
328307670,26500000,2.0,52.3,22.0,19,53,True,3,Покровское-Стрешнево,Волоколамская,5.0,"Москва, СЗАО, район Покровское-Стрешнево, Волоколамское шоссе, 97",55.830639,37.399255,Сити Бэй,,monolith,50,54,
329326896,23506698,2.0,54.71,,2,52,True,3,Печатники,Печатники,5.0,"Москва, ЮВАО, район Печатники, Ультима Сити ЖК",55.7019880595556,37.7143935159594,УЛЬТИМА Сити,without,monolith,50,55,
317518137,96288000,3.0,96.0,4.4,35,38,True,3,Хорошевский,Динамо,14.0,"Москва, САО, район Хорошевский, Ленинградский проспект, 37/2",55.792513,37.542689,Прайм Парк,,,50,46,
327802246,79900000,4.0,130.1,19.8,4,28,True,3,Филевский парк,Фили,,"Москва, ЗАО, р-н Филевский парк, м. Фили, Береговой проезд, 1Б",55.756964,37.513332,мой адрес На Береговом,,monolith,50,36,
328269441,23762054,2.0,46.1,,4,35,True,3,Можайский,Давыдково,,"Москва, ЗАО, р-н Можайский, м. Давыдково, Родина Парк ЖК, к4",55.71307828060728,37.44367974078243,Родина Парк,without,monolithBrick,50,48,
320252347,118321528,2.0,112.8,,2,8,True,3,Якиманка,Новокузнецкая,11.0,"Москва, ЦАО, район Якиманка, Софийская набережная, 36",55.74754,37.623968,Резиденция 1864,without,monolithBrick,50,48,
312875308,101365000,1.0,106.7,,6,13,True,3,Арбат,Смоленская,,"Москва, ЦАО, р-н Арбат, м. Смоленская, улица Новый Арбат, 32",55.75322600050447,37.58076983928659,Звёзды Арбата,,monolithBrick,50,56,
328337832,115000000,5.0,200.0,16.0,12,12,True,3,Хорошевский,ЦСКА,7.0,"Москва, САО, район Хорошевский, Ходынский бульвар, 15",55.785797,37.522459,Гранд-парк,,monolith,50,49,
327030607,72675400,2.0,85.1,,9,17,True,3,Гагаринский,Ленинский проспект,14.0,"Москва, ЮЗАО, район Гагаринский, Ленинский проспект, 38Ак1",55.7042836601764,37.5723518392864,Lunar,preFine,monolith,50,43,
328364994,135000000,4.0,138.0,15.0,7,9,False,3,Пресненский,Тверская,,"Москва, ЦАО, р-н Пресненский, м. Тверская, Малая Бронная улица, 25",55.763123,37.594261,,,monolithBrick,50,50,
329367676,42000000,1.0,51.0,13.0,31,68,True,3,Пресненский,Москва-Сити,4.0,"Москва, ЦАО, район Пресненский, 1-й Красногвардейский проезд, 22с2",55.751584,37.535332,NEVA TOWERS,,monolith,50,44,
305070032,82500000,3.0,82.3,7.6,37,41,True,3,Хорошевский,Динамо,15.0,"Москва, САО, район Хорошевский, Ленинградский проспект, 37/6",55.794173,37.542213,Прайм Парк,,,50,54,
327542673,35530068,3.0,75.18,,28,52,True,3,Можайский,Давыдково,,"Москва, ЗАО, р-н Можайский, м. Давыдково, Верейская улица, 29с32Д",55.7085620723885,37.4350017460307,СЕТ,without,monolith,50,53,
327826154,250000000,4.0,150.0,20.0,2,14,True,3,Хамовники,Спортивная,6.0,"Москва, ЦАО, район Хамовники, улица Усачева, 15А",55.7256,37.570276,Садовые кварталы,,monolithBrick,50,59,
324215702,170000000,3.0,128.0,15.0,18,32,True,3,Дорогомилово,Парк Победы,17.0,"Москва, ЗАО, район Дорогомилово, Поклонная улица, 9",55.734334,37.525324,Поклонная 9,,monolith,50,53,
328196883,18542433,2.0,46.5,19.6,18,29,True,3,Москворечье-Сабурово,Каширская,22.0,"Москва, ЮАО, район Москворечье-Сабурово, Москворечье ЖК",55.6448060251243,37.6377707632276,Москворечье,fine,monolith,50,40,
323346432,79000000,2.0,63.4,25.0,8,10,True,3,Дорогомилово,Парк Победы,12.0,"Москва, ЗАО, район Дорогомилово, улица Братьев Фонченко, 1к7",55.731724,37.517275,Victory Park Residences,,monolith,50,62,
329370825,70000000,3.0,106.0,12.0,11,11,True,3,Очаково-Матвеевское,Матвеевская,,"Москва, ЗАО, р-н Очаково-Матвеевское, м. Матвеевская, Староволынская улица, 12к5",55.715479,37.479034,Волынский,,monolith,50,62,
327933509,369000000,5.0,154.0,5.0,3,16,True,3,Хамовники,Спортивная,10.0,"Москва, ЦАО, район Хамовники, улица Усачева, 11Е",55.726943,37.571767,Садовые кварталы,,monolithBrick,50,51,
322286415,940000000,5.0,241.0,21.0,6,9,True,3,Хамовники,Парк Культуры,9.0,"Москва, ЦАО, район Хамовники, Малый Левшинский переулок, 5К2",55.741632,37.589464,,,monolith,50,35,
328465384,61247174,2.0,72.1,,29,41,True,3,Хорошевский,Аэропорт,,"Москва, САО, р-н Хорошевский, м. Аэропорт, Ленинградский проспект, 37/7",55.793698,37.543183,Прайм Парк,,,50,55,
328526033,179550000,4.0,133.0,20.0,2,18,True,3,Хамовники,Воробьёвы горы,13.0,"Москва, ЦАО, район Хамовники, Лужнецкая набережная, 1",55.7147723668241,37.5721607897779,КОЛЛЕКЦИЯ ЛУЖНИКИ,without,monolithBrick,50,37,
317927939,118276470,4.0,108.7,,2,18,True,3,Донской,Ленинский проспект,,"Москва, ЮАО, р-н Донской, м. Ленинский проспект, Шифт ЖК, к4",55.7104656030422,37.5921377103091,SHIFT,fine,monolith,50,52,
323517098,46678250,4.0,77.5,,2,43,True,3,Даниловский,Павелецкая,,"Москва, ЮАО, р-н Даниловский, м. Павелецкая, проезд Жуков",55.7220358467541,37.6474187397073,Эра,without,monolith,50,49,
305914265,26862120,2.0,49.8,,2,24,True,3,Сокольники,Сокольники,14.0,"Москва, ВАО, район Сокольники, улица Гастелло",55.78311845766332,37.690904402792526,СТОУН Сокольники,without,monolithBrick,50,47,
316678704,382643431,4.0,204.6,15.0,6,12,False,3,Тверской,Охотный ряд,,"Москва, ЦАО, р-н Тверской, м. Охотный ряд, улица Охотный Ряд, 2",55.757131,37.617114,,,monolithBrick,50,51,
326582339,50500000,3.0,61.0,6.0,7,7,True,3,Пресненский,Баррикадная,11.0,"Москва, ЦАО, район Пресненский, Малая Никитская улица, 16/5",55.75903,37.59118,,,brick,50,64,
326582092,127000000,5.0,141.2,12.9,2,5,True,3,Мещанский,Цветной бульвар,7.0,"Москва, ЦАО, район Мещанский, Последний переулок, 5С1",55.770092,37.626385,,,brick,50,37,
321658755,142060000,2.0,85.2,48.8,19,65,True,3,Пресненский,Москва-Сити,,"Москва, ЦАО, р-н Пресненский, м. Москва-Сити, Краснопресненская набережная, 14Ак3",55.75204,37.548465,Capital Towers,,,50,54,
327086338,115000000,4.0,112.0,12.0,10,37,True,3,Хорошевский,Аэропорт,,"Москва, САО, р-н Хорошевский, м. Аэропорт, Ленинградский проспект, 37/6",55.794173,37.542213,Прайм Парк,,monolith,50,45,
328643625,97000000,2.0,104.0,7.0,3,4,False,3,Тверской,Трубная,,"Москва, ЦАО, р-н Тверской, м. Трубная, улица Петровка, 17С4",55.764323,37.615407,,,brick,50,57,
324625303,225000000,4.0,151.0,17.0,3,10,True,3,Дорогомилово,Парк Победы,9.0,"Москва, ЗАО, район Дорогомилово, улица Братьев Фонченко, 1к4",55.732529,37.517302,Victory Park Residences,,monolith,50,54,
327037126,290000000,4.0,276.0,86.0,3,14,True,3,Мещанский,Проспект Мира,6.0,"Москва, ЦАО, район Мещанский, Протопоповский переулок, 10",55.779565,37.638171,Хортус Гармония,,monolithBrick,50,50,
321138965,71111151,3.0,87.9,,8,41,True,3,Хорошевский,Аэропорт,,"Москва, САО, р-н Хорошевский, м. Аэропорт, Ленинградский проспект, 37/7",55.793698,37.543183,Прайм Парк,,,50,54,
